town_name_show,dist_km,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
松崎町峰輪,8.341293619350044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,8.606204690408207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,8.619862545378258,246.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町松崎,8.628600191339748,743.0,0.0,0.0,0.0,149.0,637.0,0.0,0.0,0.0
松崎町宮内,8.650212308962143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,8.65264512130732,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0
伊豆市土肥,8.967606229393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市土肥,9.086831481880607,0.0,0.0,100.0,67.0,0.0,0.0,130.0,0.0,0.0
松崎町道部,9.126866384788766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町伏倉,9.206390599082264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
