town_name_show,dist_km,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック
鳥羽市船津町,10.075617156421721,4452.0,1290.0,619.0,298.0,0.0,0.0,430.0,609.0,0.0,0.0
鳥羽市鳥羽五丁目,10.500968907701496,1751.0,746.0,39.0,238.0,40.0,0.0,0.0,608.0,0.0,0.0
鳥羽市河内町,10.572326826157688,2244.0,881.0,177.0,244.0,0.0,0.0,0.0,218.0,0.0,0.0
志摩市磯部町迫間,10.841596946601106,868.0,0.0,0.0,0.0,259.0,185.0,109.0,0.0,212.0,0.0
鳥羽市鳥羽四丁目,10.861899820772386,1770.0,433.0,85.0,1048.0,0.0,0.0,0.0,435.0,0.0,0.0
志摩市磯部町恵利原,10.86745632649348,393.0,175.0,0.0,0.0,73.0,0.0,75.0,0.0,0.0,0.0
鳥羽市鳥羽町,11.317048295622811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市鳥羽三丁目,11.424809256857072,2807.0,448.0,0.0,812.0,0.0,0.0,0.0,153.0,0.0,0.0
鳥羽市鳥羽二丁目,11.934731373964587,1456.0,510.0,312.0,90.0,0.0,0.0,0.0,93.0,0.0,0.0
鳥羽市堅神町,12.064113851414787,1676.0,931.0,84.0,451.0,131.0,54.0,265.0,50.0,0.0,0.0
鳥羽市屋内町,12.160567253258447,2327.0,81.0,0.0,259.0,87.0,0.0,0.0,0.0,0.0,0.0
鳥羽市池上町,12.234343784934815,7064.0,970.0,419.0,277.0,62.0,0.0,0.0,402.0,0.0,0.0
鳥羽市鳥羽一丁目,12.294354987828953,1304.0,259.0,182.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町山原,12.331475739957224,517.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,91.0,0.0
志摩市阿児町神明,12.431386443095723,1228.0,298.0,46.0,167.0,1680.0,2298.0,1656.0,213.0,1080.0,0.0
志摩市磯部町築地,12.605368321482912,559.0,0.0,0.0,0.0,856.0,0.0,84.0,85.0,99.0,0.0
志摩市阿児町立神,12.890049180060883,180.0,59.0,0.0,0.0,308.0,443.0,276.0,58.0,196.0,0.0
志摩市阿児町鵜方,12.917040860032472,3528.0,164.0,0.0,552.0,4903.0,4674.0,3800.0,562.0,4692.0,181.0
伊勢市朝熊町,14.87148162421049,1715.0,0.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,160.0
伊勢市二見町松下,14.900126055174745,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0
鳥羽市小浜町,15.644478418674165,4076.0,857.0,327.0,665.0,0.0,53.0,0.0,431.0,51.0,0.0
伊勢市二見町江,16.241703043195866,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町三津,16.8064967148017,706.0,0.0,0.0,0.0,75.0,0.0,692.0,0.0,0.0,338.0
伊勢市二見町茶屋,17.048562164503714,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0
伊勢市二見町光の街,17.451669130572352,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊勢市二見町山田原,17.552697570037562,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0
伊勢市二見町荘,17.93469827445901,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655.0
伊勢市楠部町,17.996694497305786,387.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0
伊勢市鹿海町,18.02270609835094,499.0,891.0,0.0,242.0,0.0,0.0,0.0,100.0,0.0,0.0
伊勢市二見町溝口,18.32188485199962,691.0,148.0,0.0,46.0,0.0,50.0,0.0,0.0,0.0,414.0
伊勢市二見町西,18.9575215749745,1738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1244.0
