town_name_show,dist_km,医療法人社団 雄成会 中村医院,医療法人社団 邦清会 木更津東邦病院,社会医療法人社団さつき会 袖ケ浦さつき台病院,姉崎駅前クリニックカンティー,大和クリニック,医療法人社団俊和会 中西整形外科,おかもと医院,みるみる内科と在宅クリニック木更津,医療法人社団ほたるの博優会 ほたるのセントラル内科,医療法人新都市医療研究会「君津」会 玄々堂君津病院
君津市久留里市場,3.863405520287436,76.0,220.0,36.0,376.0,183.0,74.0,200.0,234.0,0.0,116.0
君津市向郷,3.9123806688763216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市下宮田,3.9517235162945017,0.0,0.0,0.0,0.0,202.0,0.0,99.0,50.0,0.0,0.0
木更津市根岸,4.061386991661032,38.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市茅野,4.4397913693347935,1200.0,246.0,416.0,148.0,72.0,80.0,86.0,72.0,0.0,26.0
木更津市真里,4.470864614263205,1272.0,117.0,103.0,72.0,179.0,26.0,203.0,107.0,463.0,0.0
木更津市上根岸,4.577710960730016,72.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市栗坪,4.595112781238706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0
君津市長石,4.614177522274985,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
木更津市草敷,4.6267885148760435,0.0,0.0,0.0,0.0,0.0,0.0,81.0,31.0,0.0,0.0
君津市久留里大谷,4.6499625626909635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市茅野七曲,4.7205922847664326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0
君津市糠田飛地,4.743161278415544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市法木,4.772650501861468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0
木更津市戸国,4.7815168882608905,124.0,78.0,0.0,0.0,0.0,21.0,0.0,0.0,33.0,0.0
君津市芋窪,4.806038150206243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市久留里,4.812442212721601,0.0,0.0,0.0,34.0,37.0,0.0,0.0,0.0,0.0,199.0
木更津市下内橋,4.88758387643651,403.0,35.0,35.0,231.0,0.0,155.0,50.0,242.0,61.0,0.0
袖ケ浦市上宮田,4.887843198062112,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0
君津市かずさ小糸,5.3271245233893065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
袖ケ浦市下根岸,5.4286784701612465,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市かずさ鎌足三丁目,5.551243729694021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
袖ケ浦市下宮田,5.621042848419753,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市大稲,5.630966151815888,90.0,237.0,220.0,565.0,42.0,614.0,0.0,0.0,110.0,0.0
袖ケ浦市大竹,5.656324409768553,0.0,0.0,0.0,27.0,85.0,24.0,0.0,0.0,27.0,0.0
木更津市真里谷,5.708759119722745,4976.0,1426.0,676.0,487.0,666.0,432.0,486.0,804.0,362.0,60.0
君津市山滝野,5.772308995281074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,429.0
木更津市かずさ鎌足二丁目,5.834734030997424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
市原市万田野,5.920422011419343,0.0,173.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市浦田,5.973192064740903,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市平山,6.00212335723927,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
君津市川谷,6.041655854212845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
木更津市かずさ鎌足一丁目,6.116343791372502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市小糸大谷,6.1572869099391925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,33.0
袖ケ浦市阿部,6.244659379101542,24.0,275.0,90.0,27.0,84.0,0.0,0.0,58.0,0.0,0.0
袖ケ浦市百目木,6.248077445080511,0.0,52.0,482.0,0.0,309.0,67.0,125.0,0.0,0.0,0.0
君津市糸川,6.343489864722395,0.0,0.0,92.0,76.0,0.0,0.0,0.0,0.0,260.0,111.0
